Berlin,Buenos Aires,7402
Berlin,Cairo,1795
Berlin,Calcutta,4368
Berlin,Cape Town,5981
Berlin,Caracas,5247
Berlin,Chicago,4405
Buenos Aires,Cairo,7345
Buenos Aires,Calcutta,10265
Buenos Aires,Cape Town,4269
Buenos Aires,Caracas,3168
Buenos Aires,Chicago,5598
Cairo,Calcutta,3539
Cairo,Cape Town,4500
Cairo,Caracas,6338
Cairo,Chicago,6129
Calcutta,Cape Town,6024
Calcutta,Caracas,9605
Calcutta,Chicago,7980
Cape Town,Caracas,6365
Cape Town,Chicago,8494
Caracas,Chicago,2501
Hong Kong,Berlin,5440
Hong Kong,Buenos Aires,11472
Hong Kong,Cairo,5061
Hong Kong,Calcutta,1648
Hong Kong,Cape Town,7375
Hong Kong,Caracas,10167
Hong Kong,Chicago,7793
Honolulu,Berlin,7309
Honolulu,Buenos Aires,7561
Honolulu,Cairo,8838
Honolulu,Calcutta,7047
Honolulu,Cape Town,11534
Honolulu,Caracas,6013
Honolulu,Chicago,4250
Istanbul,Berlin,1078
Istanbul,Buenos Aires,7611
Istanbul,Cairo,768
Istanbul,Calcutta,3638
Istanbul,Cape Town,5154
Istanbul,Caracas,6048
Istanbul,Chicago,5477
Lisbon,Berlin,1436
Lisbon,Buenos Aires,5956
Lisbon,Cairo,2363
Lisbon,Calcutta,5638
Lisbon,Cape Town,5325
Lisbon,Caracas,4041
Lisbon,Chicago,3990
London,Berlin,579
London,Buenos Aires,6916
London,Cairo,2181
London,Calcutta,4947
London,Cape Town,6012
London,Caracas,4660
London,Chicago,3950
Los Angeles,Berlin,5724
Los Angeles,Buenos Aires,6170
Los Angeles,Cairo,7520
Los Angeles,Calcutta,8090
Los Angeles,Cape Town,9992
Los Angeles,Caracas,3632
Los Angeles,Chicago,1745
Manila,Berlin,6132
Manila,Buenos Aires,11051
Manila,Cairo,5704
Manila,Calcutta,2203
Manila,Cape Town,7486
Manila,Caracas,10620
Manila,Chicago,8143
Mexico City,Berlin,6047
Mexico City,Buenos Aires,4592
Mexico City,Cairo,7688
Mexico City,Calcutta,9492
Mexico City,Cape Town,8517
Mexico City,Caracas,2232
Mexico City,Chicago,1691
Montreal,Berlin,3729
Montreal,Buenos Aires,5615
Montreal,Cairo,5414
Montreal,Calcutta,7607
Montreal,Cape Town,7931
Montreal,Caracas,2449
Montreal,Chicago,744
Moscow,Berlin,1004
Moscow,Buenos Aires,8376
Moscow,Cairo,1803
Moscow,Calcutta,3321
Moscow,Cape Town,6300
Moscow,Caracas,6173
Moscow,Chicago,4974
New York,Berlin,3965
New York,Buenos Aires,5297
New York,Cairo,5602
New York,Calcutta,7918
New York,Cape Town,7764
New York,Caracas,2132
New York,Chicago,713
Paris,Berlin,545
Paris,Buenos Aires,6870
Paris,Cairo,1995
Paris,Calcutta,4883
Paris,Cape Town,5807
Paris,Caracas,4736
Paris,Chicago,4134
Rio de Janeiro,Berlin,6220
Rio de Janeiro,Buenos Aires,1200
Rio de Janeiro,Cairo,6146
Rio de Janeiro,Calcutta,9377
